token_id,gene_id
609,ENSMUSG00000004098
610,ENSMUSG00000004099
611,ENSMUSG00000004100
612,ENSMUSG00000004105
613,ENSMUSG00000004110
614,ENSMUSG00000004113
615,ENSMUSG00000004127
616,ENSMUSG00000004151
617,ENSMUSG00000004187
618,ENSMUSG00000004207
619,ENSMUSG00000004221
620,ENSMUSG00000004231
621,ENSMUSG00000004233
622,ENSMUSG00000004263
623,ENSMUSG00000004264
624,ENSMUSG00000004266
625,ENSMUSG00000004267
626,ENSMUSG00000004268
627,ENSMUSG00000004270
628,ENSMUSG00000004285
629,ENSMUSG00000004296
630,ENSMUSG00000004317
631,ENSMUSG00000004319
632,ENSMUSG00000004328
633,ENSMUSG00000004341
634,ENSMUSG00000004347
635,ENSMUSG00000004356
636,ENSMUSG00000004359
637,ENSMUSG00000004360
638,ENSMUSG00000004364
639,ENSMUSG00000004366
640,ENSMUSG00000004371
641,ENSMUSG00000004383
642,ENSMUSG00000004393
643,ENSMUSG00000004394
644,ENSMUSG00000004415
645,ENSMUSG00000004446
646,ENSMUSG00000004451
647,ENSMUSG00000004455
648,ENSMUSG00000004460
649,ENSMUSG00000004462
650,ENSMUSG00000004473
651,ENSMUSG00000004508
652,ENSMUSG00000004530
653,ENSMUSG00000004535
654,ENSMUSG00000004552
655,ENSMUSG00000004558
656,ENSMUSG00000004561
657,ENSMUSG00000004562
658,ENSMUSG00000004565
659,ENSMUSG00000004567
660,ENSMUSG00000004568
661,ENSMUSG00000004591
662,ENSMUSG00000004610
663,ENSMUSG00000004612
664,ENSMUSG00000004626
665,ENSMUSG00000004630
666,ENSMUSG00000004631
667,ENSMUSG00000004633
668,ENSMUSG00000004637
669,ENSMUSG00000004642
670,ENSMUSG00000004651
671,ENSMUSG00000004654
672,ENSMUSG00000004655
673,ENSMUSG00000004661
674,ENSMUSG00000004665
675,ENSMUSG00000004667
676,ENSMUSG00000004668
677,ENSMUSG00000004677
678,ENSMUSG00000004698
679,ENSMUSG00000004707
680,ENSMUSG00000004730
681,ENSMUSG00000004748
682,ENSMUSG00000004768
683,ENSMUSG00000004771
684,ENSMUSG00000004788
685,ENSMUSG00000004789
686,ENSMUSG00000004791
687,ENSMUSG00000004798
688,ENSMUSG00000004814
689,ENSMUSG00000004815
690,ENSMUSG00000004842
691,ENSMUSG00000004843
692,ENSMUSG00000004846
693,ENSMUSG00000004849
694,ENSMUSG00000004864
695,ENSMUSG00000004865
696,ENSMUSG00000004872
697,ENSMUSG00000004880
698,ENSMUSG00000004885
699,ENSMUSG00000004891
700,ENSMUSG00000004892
701,ENSMUSG00000004894
702,ENSMUSG00000004895
703,ENSMUSG00000004897
704,ENSMUSG00000004902
705,ENSMUSG00000004929
706,ENSMUSG00000004931
707,ENSMUSG00000004933
708,ENSMUSG00000004934
709,ENSMUSG00000004936
710,ENSMUSG00000004937
711,ENSMUSG00000004939
712,ENSMUSG00000004945
713,ENSMUSG00000004947
714,ENSMUSG00000004951
715,ENSMUSG00000004961
716,ENSMUSG00000004980
717,ENSMUSG00000004988
718,ENSMUSG00000004996
719,ENSMUSG00000005034
720,ENSMUSG00000005043
721,ENSMUSG00000005045
722,ENSMUSG00000005054
723,ENSMUSG00000005057
724,ENSMUSG00000005069
725,ENSMUSG00000005087
726,ENSMUSG00000005089
727,ENSMUSG00000005102
728,ENSMUSG00000005103
729,ENSMUSG00000005107
730,ENSMUSG00000005124
731,ENSMUSG00000005125
732,ENSMUSG00000005142
733,ENSMUSG00000005148
734,ENSMUSG00000005150
735,ENSMUSG00000005161
736,ENSMUSG00000005198
737,ENSMUSG00000005202
738,ENSMUSG00000005204
739,ENSMUSG00000005220
740,ENSMUSG00000005225
741,ENSMUSG00000005232
742,ENSMUSG00000005233
743,ENSMUSG00000005237
744,ENSMUSG00000005251
745,ENSMUSG00000005262
746,ENSMUSG00000005267
747,ENSMUSG00000005268
748,ENSMUSG00000005299
749,ENSMUSG00000005312
750,ENSMUSG00000005320
751,ENSMUSG00000005338
752,ENSMUSG00000005354
753,ENSMUSG00000005355
754,ENSMUSG00000005357
755,ENSMUSG00000005360
756,ENSMUSG00000005362
757,ENSMUSG00000005364
758,ENSMUSG00000005370
759,ENSMUSG00000005371
760,ENSMUSG00000005373
761,ENSMUSG00000005374
762,ENSMUSG00000005378
763,ENSMUSG00000005397
764,ENSMUSG00000005410
765,ENSMUSG00000005413
766,ENSMUSG00000005417
767,ENSMUSG00000005442
768,ENSMUSG00000005447
769,ENSMUSG00000005465
770,ENSMUSG00000005469
771,ENSMUSG00000005470
772,ENSMUSG00000005474
773,ENSMUSG00000005481
774,ENSMUSG00000005483
775,ENSMUSG00000005493
776,ENSMUSG00000005501
777,ENSMUSG00000005503
778,ENSMUSG00000005505
779,ENSMUSG00000005506
780,ENSMUSG00000005510
781,ENSMUSG00000005514
782,ENSMUSG00000005533
783,ENSMUSG00000005534
784,ENSMUSG00000005540
785,ENSMUSG00000005553
786,ENSMUSG00000005566
787,ENSMUSG00000005575
788,ENSMUSG00000005580
789,ENSMUSG00000005583
790,ENSMUSG00000005609
791,ENSMUSG00000005610
792,ENSMUSG00000005611
793,ENSMUSG00000005615
794,ENSMUSG00000005621
795,ENSMUSG00000005625
796,ENSMUSG00000005628
797,ENSMUSG00000005640
798,ENSMUSG00000005649
799,ENSMUSG00000005656
800,ENSMUSG00000005667
801,ENSMUSG00000005672
802,ENSMUSG00000005674
803,ENSMUSG00000005677
804,ENSMUSG00000005681
805,ENSMUSG00000005682
806,ENSMUSG00000005686
807,ENSMUSG00000005687
808,ENSMUSG00000005696
809,ENSMUSG00000005698
810,ENSMUSG00000005699
811,ENSMUSG00000005705
812,ENSMUSG00000005716
813,ENSMUSG00000005718
814,ENSMUSG00000005732
815,ENSMUSG00000005763
816,ENSMUSG00000005774
817,ENSMUSG00000005779
818,ENSMUSG00000005800
819,ENSMUSG00000005802
820,ENSMUSG00000005803
821,ENSMUSG00000005804
822,ENSMUSG00000005813
823,ENSMUSG00000005823
824,ENSMUSG00000005824
825,ENSMUSG00000005836
826,ENSMUSG00000005846
827,ENSMUSG00000005864
828,ENSMUSG00000005871
829,ENSMUSG00000005873
830,ENSMUSG00000005881
831,ENSMUSG00000005882
832,ENSMUSG00000005883
833,ENSMUSG00000005886
834,ENSMUSG00000005892
835,ENSMUSG00000005893
836,ENSMUSG00000005897
837,ENSMUSG00000005899
838,ENSMUSG00000005907
839,ENSMUSG00000005917
840,ENSMUSG00000005936
841,ENSMUSG00000005947
842,ENSMUSG00000005949
843,ENSMUSG00000005950
844,ENSMUSG00000005951
845,ENSMUSG00000005952
846,ENSMUSG00000005958
847,ENSMUSG00000005968
848,ENSMUSG00000005973
849,ENSMUSG00000005980
850,ENSMUSG00000005981
851,ENSMUSG00000005982
852,ENSMUSG00000005986
853,ENSMUSG00000005994
854,ENSMUSG00000006005
855,ENSMUSG00000006007
856,ENSMUSG00000006010
857,ENSMUSG00000006014
858,ENSMUSG00000006019
859,ENSMUSG00000006021
860,ENSMUSG00000006024
861,ENSMUSG00000006050
862,ENSMUSG00000006058
863,ENSMUSG00000006095
864,ENSMUSG00000006127
865,ENSMUSG00000006134
866,ENSMUSG00000006154
867,ENSMUSG00000006169
868,ENSMUSG00000006179
869,ENSMUSG00000006191
870,ENSMUSG00000006205
871,ENSMUSG00000006215
872,ENSMUSG00000006218
873,ENSMUSG00000006219
874,ENSMUSG00000006221
875,ENSMUSG00000006235
876,ENSMUSG00000006241
877,ENSMUSG00000006262
878,ENSMUSG00000006269
879,ENSMUSG00000006270
880,ENSMUSG00000006273
881,ENSMUSG00000006276
882,ENSMUSG00000006281
883,ENSMUSG00000006288
884,ENSMUSG00000006289
885,ENSMUSG00000006299
886,ENSMUSG00000006301
887,ENSMUSG00000006304
888,ENSMUSG00000006307
889,ENSMUSG00000006310
890,ENSMUSG00000006311
891,ENSMUSG00000006313
892,ENSMUSG00000006315
893,ENSMUSG00000006333
894,ENSMUSG00000006335
895,ENSMUSG00000006342
896,ENSMUSG00000006344
897,ENSMUSG00000006356
898,ENSMUSG00000006360
899,ENSMUSG00000006362
900,ENSMUSG00000006369
901,ENSMUSG00000006373
902,ENSMUSG00000006378
903,ENSMUSG00000006386
904,ENSMUSG00000006389
905,ENSMUSG00000006390
906,ENSMUSG00000006392
907,ENSMUSG00000006398
908,ENSMUSG00000006403
909,ENSMUSG00000006411
910,ENSMUSG00000006412
911,ENSMUSG00000006418
912,ENSMUSG00000006423
913,ENSMUSG00000006435
914,ENSMUSG00000006442
915,ENSMUSG00000006445
916,ENSMUSG00000006456
917,ENSMUSG00000006457
918,ENSMUSG00000006463
919,ENSMUSG00000006464
920,ENSMUSG00000006469
921,ENSMUSG00000006471
922,ENSMUSG00000006476
923,ENSMUSG00000006494
924,ENSMUSG00000006498
925,ENSMUSG00000006517
926,ENSMUSG00000006519
927,ENSMUSG00000006522
928,ENSMUSG00000006526
929,ENSMUSG00000006527
930,ENSMUSG00000006529
931,ENSMUSG00000006538
932,ENSMUSG00000006542
933,ENSMUSG00000006546
934,ENSMUSG00000006567
935,ENSMUSG00000006574
936,ENSMUSG00000006575
937,ENSMUSG00000006576
